geometry,latitude,longitude,cod_evento,circoscriz,data_event,causa,tipologia,civico_eve,cod_via,denominazi,x,y
"{""type"":""Point"",""coordinates"":[655505.178,4553781.63]}",4553781.63,655505.178,192,1,04/09/2017,dissesto manto stradale,caduta pedone,,720010528,VIA DOMENICO NICOLAI,655505.178,4553781.63
"{""type"":""Point"",""coordinates"":[655505.178,4553781.63]}",4553781.63,655505.178,193,1,05/10/2017,ostacolo - oggetto su manto stradale,caduta pedone,,720010528,VIA DOMENICO NICOLAI,655505.178,4553781.63
"{""type"":""Point"",""coordinates"":[656300.723,4553844.527]}",4553844.527,656300.723,194,1,29/03/2017,dissesto marciapiede,caduta pedone,166,720010528,VIA DOMENICO NICOLAI,656300.723,4553844.527
"{""type"":""Point"",""coordinates"":[656640.012,4553877.073]}",4553877.073,656640.012,195,1,04/08/2017,dissesto manto stradale,caduta pedone,30,720010528,VIA DOMENICO NICOLAI,656640.012,4553877.073
"{""type"":""Point"",""coordinates"":[657411.366,4552864.751]}",4552864.751,657411.366,197,2,01/02/2017,dissesto manto stradale,caduta pedone,,700022313,VIA EDMONDO DE AMICIS,657411.366,4552864.751
"{""type"":""Point"",""coordinates"":[658367.469,4553635.651]}",4553635.651,658367.469,198,1,26/09/2017,dissesto marciapiede,caduta pedone,15,700022057,VIA EGNATIA,658367.469,4553635.651
"{""type"":""Point"",""coordinates"":[657608.071,4553719.333]}",4553719.333,657608.071,200,1,19/10/2017,dissesto marciapiede,altro - danni fisici,34,700021137,VIA EMANUELE MOLA,657608.071,4553719.333
"{""type"":""Point"",""coordinates"":[657245.328,4553028.405]}",4553028.405,657245.328,201,2,28/07/2017,dissesto marciapiede,caduta pedone,13,720010502,VIA ENRICO TOTI,657245.328,4553028.405
"{""type"":""Point"",""coordinates"":[654998.841,4554559.153]}",4554559.153,654998.841,203,1,09/04/2017,dissesto marciapiede,caduta pedone,2,700022410,VIA EROI DI DOGALI,654998.841,4554559.153
"{""type"":""Point"",""coordinates"":[655935.391,4553824.665]}",4553824.665,655935.391,204,1,02/04/2017,ostacolo - paletto in ferro,danni auto,,700021072,VIA ETTORE FIERAMOSCA,655935.391,4553824.665
"{""type"":""Point"",""coordinates"":[655261.986,4545051.6]}",4545051.6,655261.986,207,1,25/03/2017,dissesto manto stradale,caduta pedone,,720011464,VIA FRANCESCO CRISPI,655261.986,4545051.6
"{""type"":""Point"",""coordinates"":[655212.074,4553828.591]}",4553828.591,655212.074,208,1,20/01/2017,tombino,caduta pedone,,700021965,VIA FRANCESCO CRISPI,655212.074,4553828.591
