Data incidente,Latitudine,Longitudine,Centro abitato,Tipo di strada,Caratteristiche della strada,Stato fondo stradale,Tipo pavimentazione,Condizioni meteo,Condizioni traffico,Danni a cose,Incidente con lesioni,Inviata ore,Sul posto ore
11/01/2023,41.1295,16.85113,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Nuvoloso,Normale,no,no,12:10,12:20
11/01/2023,41.11127,16.85326,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Vento forte,Intenso,no,no,16:02,16:05
11/01/2023,41.11102,16.86214,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,no,18:45,18:55
11/01/2023,41.12795,16.85611,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Vento forte,Normale,no,si,19:48,19:55
12/01/2023,41.12313,16.86546,si,Strada Urbana,Intersezione semaforizzata,Asciutto,Asfaltata,Sereno,Scarso,no,si,07:05,07:10
12/01/2023,41.10076,16.85731,si,Strada Urbana,Rettilineo,Bagnato (pioggia),Asfaltata,Nuvoloso,Scarso,no,si,14:15,14:25
12/01/2023,41.11487,16.87701,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Nuvoloso,Normale,no,no,20:20,20:35
12/01/2023,41.12375815,16.82564148,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Nuvoloso,Scarso,no,no,22:35,22:50
12/01/2023,41.13612,16.81295,si,Strada Urbana,Rettilineo,Bagnato (pioggia),Asfaltata,Sereno,Scarso,no,no,23:30,23:40
13/01/2023,41.10598,16.90051,si,Strada Urbana,Intersezione stradale segnalata,Asciutto,Asfaltata,Sereno,Scarso,si,no,00:30,00:35
13/01/2023,41.10135,16.87965,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Intenso,no,no,08:10,08:13
13/01/2023,41.08621538,16.99938439,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,si,10:10,10:30
13/01/2023,41.09319042,16.8706655,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,no,10:45,10:50
13/01/2023,41.11093,16.86213,si,Strada Urbana,Rotatoria,Asciutto,Asfaltata,Sereno,Normale,no,si,14:15,14:30
13/01/2023,41.13608,16.77425,no,Comunale extraurbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,no,16:00,16:15
14/01/2023,41.12239,16.85278,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,no,10:27,10:35
14/01/2023,41.12,16.87414,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Scarso,no,no,07:45,08:00
14/01/2023,41.11091,16.87207,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,no,08:52,09:15
14/01/2023,41.08691,16.98688,si,Statale entro l'abitato,Curva a visuale libera,Bagnato (pioggia),Asfaltata,Pioggia in atto,Normale,si,si,13:55,14:05
14/01/2023,41.08252,17.00733,no,Statale,Rettilineo,Bagnato (pioggia),Asfaltata,Pioggia in atto,Normale,no,si,14:05,14:20
14/01/2023,41.13817,16.80653,no,Statale,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,si,no,14:58,15:05
14/01/2023,41.09214,16.95129,si,Strada Urbana,Intersezione stradale segnalata,Bagnato (pioggia),Asfaltata,Nuvoloso,Scarso,no,no,16:30,16:45
14/01/2023,41.10284,16.87779,si,Strada Urbana,Intersezione stradale segnalata,Bagnato (pioggia),Asfaltata,Pioggia in atto,Scarso,no,si,17:20,17:30
14/01/2023,41.11754,16.83999,si,Strada Urbana,Rotatoria,Asciutto,Asfaltata,Sereno,Intenso,no,no,20:35,20:45
14/01/2023,41.1223,16.87242,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,no,22:30,22:40
15/01/2023,41.0967058,16.8676296,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Scarso,no,si,00:15,00:30
15/01/2023,41.10164,16.85398,si,Strada Urbana,Rettilineo,Bagnato (umidita' in atto),Asfaltata,Sereno,Normale,no,si,00:28,00:45
15/01/2023,41.12402,16.81406,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Scarso,si,si,06:00,06:15
15/01/2023,41.12091,16.85518,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,no,12:40,12:55
15/01/2023,41.11593433,16.90042249,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Vento forte,Scarso,no,no,18:10,18:20
15/01/2023,41.12316243,16.87261047,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,si,22:10,22:20
16/01/2023,41.12546,16.87109,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Scarso,no,no,03:40,03:55
16/01/2023,41.13823,16.81686,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Nuvoloso,Normale,no,no,00:00,00:00
16/01/2023,41.1169,16.86452,si,Strada Urbana,Pendenza,Asciutto,Asfaltata,Sereno,Normale,no,si,12:55,12:57
16/01/2023,41.13335,16.87022,si,Strada Urbana,Curva senza visuale libera,Asciutto,Asfaltata,Sereno,Scarso,no,no,13:30,13:35
16/01/2023,41.093804,16.8825287,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Nuvoloso,Normale,no,si,16:35,16:45
16/01/2023,41.1253067,16.8557848,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Scarso,no,no,23:07,23:15
17/01/2023,41.11419793,16.86627104,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Nuvoloso,Normale,no,no,08:55,09:15
17/01/2023,41.10807,16.86772,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,09:45,09:50
17/01/2023,41.12648,16.85328,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Nuvoloso,Scarso,no,no,10:25,10:35
17/01/2023,41.09921,16.86449,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Scarso,no,no,15:10,15:15
17/01/2023,41.09274,16.87027,si,Strada Urbana,Intersezione stradale segnalata,Asciutto,Asfaltata,Sereno,Intenso,no,no,17:10,17:20
18/01/2023,41.11027,16.87387,si,Strada Urbana,Rettilineo,Asciutto,In conglomerato cementizio,Sereno,Scarso,no,si,07:45,07:50
18/01/2023,41.09065,16.87019,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Intenso,no,no,00:00,00:00
18/01/2023,41.10297,16.80972,no,Statale,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,no,12:45,13:00
18/01/2023,41.09789,16.88668,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Nuvoloso,Scarso,no,si,15:05,15:15
18/01/2023,41.0882,16.83366,no,Provinciale,Rettilineo,Asciutto,Asfaltata,Nuvoloso,Normale,no,si,14:55,15:10
18/01/2023,41.07406,16.85871,si,Strada Urbana,Curva a visuale libera,Asciutto,Asfaltata,Sereno,Scarso,no,si,15:00,15:20
18/01/2023,41.1189645,16.8740692,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,no,17:05,17:10
18/01/2023,41.12173,16.86486,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Nuvoloso,Normale,no,si,18:15,18:25
18/01/2023,41.12396,16.86812,si,Strada Urbana,Intersezione stradale segnalata,Asciutto,Asfaltata,Sereno,Normale,no,no,21:00,21:10
18/01/2023,41.08794,16.98973,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Scarso,no,si,21:30,21:40
19/01/2023,41.123059,16.8546889,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,si,09:50,10:10
19/01/2023,41.119073,16.8637026,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,si,10:00,10:05
19/01/2023,41.08698,16.86532,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Nuvoloso,Normale,no,si,10:25,10:35
19/01/2023,41.12168,16.87461,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,13:45,13:55
19/01/2023,41.10254,16.88277,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,no,14:30,14:35
19/01/2023,41.11241,16.89389,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,13:30,13:40
19/01/2023,41.126142,16.853156,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Nuvoloso,Normale,no,si,14:30,14:35
19/01/2023,41.12614,16.85316,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Scarso,no,no,14:45,15:00
19/01/2023,41.11618,16.87585,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,no,16:00,16:15
19/01/2023,41.1139,16.89067,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,si,20:35,20:45
20/01/2023,41.12394,16.80211,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,no,08:55,09:10
20/01/2023,41.12368,16.85625,si,Strada Urbana,Intersezione stradale segnalata,Asciutto,Asfaltata,Sereno,Normale,no,no,11:00,11:05
20/01/2023,41.1138671,16.8885663,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,no,10:48,11:00
20/01/2023,41.12476,16.82224,no,Statale,Curva a visuale libera,Asciutto,Asfaltata,Nuvoloso,Normale,no,no,14:05,14:15
20/01/2023,41.1021,16.92672,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,no,12:45,13:00
20/01/2023,41.12037,16.85214,si,Strada Urbana,Intersezione semaforizzata,Asciutto,Asfaltata,Sereno,Normale,no,si,16:30,16:40
20/01/2023,41.1237309,16.8642207,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,si,16:50,17:05
20/01/2023,41.15395,16.76814,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Scarso,si,no,23:15,23:30
20/01/2023,41.1352301,16.8151502,si,Strada Urbana,Incrocio,Bagnato (pioggia),Asfaltata,Pioggia in atto,Scarso,no,no,00:18,00:30
21/01/2023,41.12551,16.87232,si,Strada Urbana,Intersezione stradale segnalata,Bagnato (pioggia),Asfaltata,Pioggia in atto,Scarso,no,si,00:35,00:40
21/01/2023,41.119975,16.8862005,si,Strada Urbana,Rettilineo,Bagnato (pioggia),Asfaltata,Nuvoloso,Scarso,no,si,01:40,01:52
21/01/2023,41.12232,16.86321,si,Strada Urbana,Intersezione stradale segnalata,Bagnato (pioggia),Asfaltata,Pioggia in atto,Scarso,no,no,02:20,02:25
21/01/2023,41.10719522,16.86293248,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,si,09:25,09:45
21/01/2023,41.12358,16.79912,si,Strada Urbana,Curva a visuale libera,Asciutto,Asfaltata,Sereno,Normale,no,si,11:00,11:05
21/01/2023,41.1603,16.76891,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,11:05,11:15
21/01/2023,41.10376,16.8757,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Intenso,no,no,11:20,11:25
21/01/2023,41.08576,16.99079,si,Statale entro l'abitato,Rettilineo,Asciutto,Asfaltata,Nuvoloso,Intenso,no,si,11:50,12:10
21/01/2023,41.12732,16.84656,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,no,14:20,14:35
21/01/2023,41.11282,16.86583,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Nuvoloso,Normale,no,si,13:15,13:30
21/01/2023,41.11766,16.88018,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,no,20:30,20:40
21/01/2023,41.11736,16.89262,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,no,20:45,20:55
22/01/2023,41.11272,16.87775,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Scarso,no,no,00:20,00:30
22/01/2023,41.12168,16.87461,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Scarso,no,no,02:20,02:30
22/01/2023,41.1184,16.86497,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Nuvoloso,Scarso,no,no,15:00,15:10
22/01/2023,41.11813,16.88913,si,Strada Urbana,Incrocio,Bagnato (pioggia),Asfaltata,Pioggia in atto,Scarso,no,no,19:29,19:37
23/01/2023,41.12462,16.82517,si,Strada Urbana,Intersezione semaforizzata,Bagnato (umidita' in atto),Asfaltata,Sereno,Normale,no,si,07:40,07:45
23/01/2023,41.09452102,16.84084852,no,Provinciale,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,09:10,09:25
23/01/2023,41.13068,16.8379,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Intenso,no,no,09:15,09:30
23/01/2023,41.13742,16.81297,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,no,11:15,11:20
23/01/2023,41.12367,16.81441,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Intenso,no,si,13:15,13:30
23/01/2023,41.10963243,16.89093446,si,Strada Urbana,Rotatoria,Asciutto,Asfaltata,Sereno,Normale,no,no,13:25,13:30
23/01/2023,41.11742,16.87597,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Intenso,no,no,00:00,00:00
23/01/2023,41.16186,16.74781,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,si,14:40,15:00
23/01/2023,41.11715,16.87203,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,no,15:10,15:20
23/01/2023,41.12516,16.85218,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,no,18:25,18:40
24/01/2023,41.09665711,16.85046671,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,si,no,00:20,00:25
24/01/2023,41.08954369,16.87578912,no,Statale,Rettilineo,Asciutto,Asfaltata,Sereno,Intenso,no,si,09:15,09:30
24/01/2023,41.09047,16.85284,no,Statale,Rettilineo,Asciutto,Asfaltata,Sereno,Intenso,no,no,09:45,10:15
24/01/2023,41.11157,16.91712,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,no,10:00,10:20
24/01/2023,41.12077,16.87256,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sole radente,Intenso,no,si,11:20,11:30
24/01/2023,41.12121,16.88293,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,no,11:40,11:55
24/01/2023,41.09921,16.88064,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Nuvoloso,Normale,no,no,11:55,12:00
24/01/2023,41.15532,16.76858,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,no,12:15,12:25
24/01/2023,41.09933,16.82949,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,no,15:00,15:12
24/01/2023,41.119,16.88954,si,Strada Urbana,Cavalcavia,Asciutto,Asfaltata,Sereno,Normale,no,si,15:10,15:20
24/01/2023,41.12611,16.86175,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,00:00,00:00
24/01/2023,41.12963,16.86801,si,Strada Urbana,Pianeggiante,Asciutto,Asfaltata,Sereno,Scarso,no,no,00:00,00:00
24/01/2023,41.13885,16.81492,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,no,17:40,18:00
24/01/2023,41.16143,16.75081,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,si,18:30,18:40
